Period,Collections,A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
41,93522.83043570667,10927.373499029025,10927.373499029025,0,12608.560280933334,12608.560280933334,0,70655.63150902251,70655.63150902251,0,45927.97757510892,0.0,0.0,0,803534.2484132996,756513.6168559999,45927.97757510892
42,93522.83043570667,10044.178105166244,10044.178105166244,0,12608.560280933334,12608.560280933334,0,71648.86248316313,71648.86248316313,0,45149.20714155288,0.0,0.0,0,731885.3859301364,756513.6168559999,45149.20714155288
43,93522.83043570667,9148.567324126705,9148.567324126705,0,12608.560280933334,12608.560280933334,0,72656.23390395222,72656.23390395222,0,44258.67606824727,0.0,0.0,0,659229.1520261843,756513.6168559999,44258.67606824727
44,93522.83043570667,8240.364400327302,8240.364400327302,0,12608.560280933334,12608.560280933334,0,73677.9495111636,73677.9495111636,0,43254.6323115297,0.0,0.0,0,585551.2025150206,756513.6168559999,43254.6323115297
45,93522.83043570667,7319.390031437757,7319.390031437757,0,12608.560280933334,12608.560280933334,0,74714.21601324613,74714.21601324613,0,42135.29642161915,0.0,0.0,0,510836.9865017745,756513.6168559999,42135.29642161915
46,93522.83043570667,6385.4623312721815,6385.4623312721815,0,12608.560280933334,12608.560280933334,0,75765.24313103443,75765.24313103443,0,40898.86111408587,0.0,0.0,0,435071.7433707401,756513.6168559999,40898.86111408587
47,93522.83043570667,5438.396792134251,5438.396792134251,0,12608.560280933334,12608.560280933334,0,76831.24364211019,76831.24364211019,0,39543.49083461476,0.0,0.0,0,358240.4997286299,756513.6168559999,39543.49083461476
48,93522.83043570667,4478.006246607873,4478.006246607873,0,12608.560280933334,12608.560280933334,0,77912.43342582298,77912.43342582298,0,38067.321316957255,0.0,0.0,0,280328.0663028069,756513.6168559999,38067.321316957255
49,93522.83043570667,3504.100828785086,3504.100828785086,0,12608.560280933334,12608.560280933334,0,79009.03150897968,79009.03150897968,0,36468.45913396582,0.0,0.0,0,201319.03479382722,756513.6168559999,36468.45913396582
50,93522.83043570667,2516.48793492284,2516.48793492284,0,12608.560280933334,12608.560280933334,0,80121.26011221515,80121.26011221515,0,34744.981241601155,0.0,0.0,0,121197.77468161206,756513.6168559999,34744.981241601155
51,90509.09413855821,1514.9721835201508,1514.9721835201508,0,12608.560280933334,12608.560280933334,0,78235.60839990266,78235.60839990266,0,32894.93451580322,0.0,0.0,0,42962.166281709404,756513.6168559999,32894.93451580322
52,88031.79080176372,537.0270785213676,537.0270785213676,0,12608.560280933334,12608.560280933334,0,42962.166281709404,42962.166281709404,0,64818.97167640284,33898.082813144676,33898.082813144676,0,0.0,722615.5340428553,30920.888863258166
53,84823.48501158644,0.0,0.0,0,12043.592234047588,12043.592234047588,0,0.0,0.0,0,103700.78164079701,74732.85967225909,74732.85967225909,0,0.0,647882.6743705962,28967.92196853792
